Customer_ID,Count,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Satisfication_Score,Quarter,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Churn_Category
7531-GQHME,1,0,47,0,0,1,1,3,0,0,656,93551,612,34.613476,-118.256358,4,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
4377-VDHYI,1,1,50,0,0,1,1,3,0,0,306,94538,922,37.505768,-121.962472,4,0,1,5,35,3,1,1.53,0,1,2,57,0,1,0,1,1,2,0,1,1,1,0,89.7,3165.6,0,0,nan,3219.15,0
7516-GMHUV,nan,2,nan,2,2,2,2,nan,0,0,1012,96016,1482,40.936285,-121.572692,4,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
5197-PYEPU,nan,0,64,0,0,1,0,0,0,0,902,92592,129,33.507255,nan,2,1,1,nan,40,2,1,2.03,1,2,2,19,0,0,2,1,0,0,0,1,0,1,0,84.85,3303.05,0,0,81.2,3384.25,1
2120-SMPEX,nan,0,39,0,0,1,0,0,0,0,389,92647,1526,33.723579,-118.005441,nan,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,2
0496-AHOOK,1,1,80,0,1,1,0,0,1,0,791,93954,708,36.125529,-120.864443,nan,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,1
2805-AUFQN,nan,2,50,0,0,0,0,0,0,0,1012,95630,1241,38.672638,-121.147403,5,0,0,nan,28,3,1,13.69,0,2,2,12,0,1,0,1,1,0,0,1,1,1,0,91.25,nan,0,0,383.32,2866.97,0
0841-NULXI,1,2,28,1,0,1,1,nan,0,1,185,95713,1313,39.084645,-120.894014,3,0,1,1,71,1,1,20.49,2,0,3,0,0,0,0,0,0,0,0,2,2,2,1,nan,1397.3,0,0,1454.79,2852.09,0
0263-FJTQO,nan,0,63,2,0,0,2,0,0,0,522,95336,1024,nan,-121.201018,3,0,2,0,60,2,1,39.41,1,0,4,0,0,0,0,2,0,0,0,0,3,0,2,25,1505.05,0,0,2364.6,3869.65,0
3280-NMUVX,1,1,47,0,0,0,0,0,1,1,1012,nan,1526,nan,nan,4,0,0,0,nan,6,1,47.45,1,2,1,5,1,0,0,0,0,1,1,1,0,0,0,65.75,1111.2,0,0,806.65,1917.85,0
1820-TQVEV,1,0,74,0,1,1,0,0,0,0,504,93441,619,nan,-120.02609,4,0,1,2,nan,0,1,12.33,2,1,0,23,0,2,1,1,1,0,0,1,1,0,0,64.2,2106.3,0,0,419.22,2525.52,0
1100-DDVRV,1,0,57,0,0,0,0,0,0,0,317,90248,267,33.876482,nan,3,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
9779-DPNEJ,1,0,65,0,1,0,2,0,0,0,1012,nan,1447,40.524535,-122.647172,nan,1,0,0,46,0,1,16.04,1,1,1,26,0,0,1,1,0,1,1,1,1,1,3,69.1,3255.35,0,0,737.84,3993.19,0
8409-WQJUX,1,1,73,0,1,1,0,0,1,0,695,92870,270,33.881158,-117.854783,3,0,1,10,72,1,2,nan,1,1,2,30,1,1,1,1,0,0,0,1,2,1,0,93.05,6735.05,0,0,96.48,6831.53,0
7493-TPUWZ,nan,1,77,0,1,1,0,0,0,0,542,nan,157,33.653338,-117.178271,5,0,1,1,29,3,1,nan,1,1,1,nan,0,0,0,0,0,0,0,1,1,1,0,nan,1442,0,0,nan,2533.85,0
1135-HIORI,nan,2,nan,2,2,2,2,nan,1,0,307,95231,1038,37.873283,-121.292034,4,1,0,0,nan,5,1,30.8,0,1,1,27,0,1,0,1,1,0,0,1,3,1,0,nan,520.95,0,0,nan,767.35,0
6230-BSUXY,1,2,34,2,0,0,0,nan,0,0,560,92692,146,33.60693,-117.644253,3,0,0,0,1,6,1,2.24,0,1,2,6,0,0,2,0,0,0,0,1,0,1,2,70.15,70.15,0,nan,2.24,nan,1
9667-EQRXU,nan,2,nan,2,2,2,2,nan,0,0,39,90701,1526,33.867593,-118.080637,nan,0,1,2,60,0,1,22.95,1,1,2,15,0,1,2,0,2,1,1,1,1,1,3,104.35,6339.45,41.23,nan,1377,7675.22,0
2014-MKGMH,nan,2,nan,2,2,2,2,nan,0,0,22,nan,254,33.848733,-117.788357,nan,0,0,0,4,0,2,48.35,1,2,0,24,0,0,1,0,1,0,2,1,0,1,0,89.2,346.2,nan,0,193.4,539.6,1
7207-RMRDB,1,1,72,0,1,1,0,0,0,1,777,92129,1526,nan,-117.134917,3,0,1,1,33,0,2,27.78,1,1,4,8,0,0,0,0,2,2,0,1,0,1,0,94.5,nan,0,0,nan,4022.29,5
1934-SJVJK,1,1,34,0,0,0,1,2,1,0,500,90008,1526,nan,-118.346766,nan,0,0,0,9,5,1,27.64,0,1,0,29,0,1,0,0,0,0,2,2,0,1,0,50.1,484.05,0,nan,248.76,732.81,0
7077-XJMET,nan,2,nan,2,2,2,2,nan,1,1,1012,nan,1526,nan,nan,4,1,0,0,71,0,1,4.89,1,0,3,0,2,0,0,0,0,2,0,2,3,2,1,24.35,1654.6,0,0,347.19,2001.79,0
2452-KDRRH,1,1,54,0,0,0,0,nan,0,0,330,95717,1322,39.170376,nan,nan,0,0,0,44,2,2,49.57,1,1,0,21,0,2,1,1,1,2,1,0,1,2,0,nan,nan,0,100,nan,5985.23,0
7351-MHQVU,nan,2,nan,2,2,2,2,nan,0,0,762,95975,1526,39.225634,-121.156163,nan,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,4
8631-XVRZL,nan,2,nan,2,2,2,2,nan,0,1,656,nan,606,34.536232,-118.082935,3,0,1,9,18,0,1,43.69,1,0,3,0,0,0,0,0,0,0,0,0,2,1,1,24.65,471.35,0,0,786.42,1257.77,0
3143-ILDAL,1,0,58,0,0,1,0,0,0,0,1002,93287,689,35.710244,nan,nan,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,3
4797-AXPXK,1,0,nan,1,0,1,1,2,0,0,920,93668,765,36.635661,-120.288644,3,0,1,7,36,0,1,40.54,1,1,0,59,1,2,1,2,1,1,1,1,2,1,1,92.9,3379.25,0,0,1459.44,4838.69,0
6164-HAQTX,nan,2,24,1,0,1,1,3,0,1,384,95546,1495,41.163637,nan,4,0,1,9,72,1,0,nan,0,1,1,51,1,1,1,1,1,1,1,2,2,1,1,nan,nan,0,80,0,4558.85,0
0526-SXDJP,nan,2,nan,2,2,2,2,nan,0,0,868,94305,1526,37.424342,-122.165641,3,0,0,0,69,1,1,nan,1,1,1,28,1,0,1,1,2,1,2,1,2,1,1,85.35,5897.4,0,nan,1274.43,7171.83,0
3671-SHRSP,1,0,nan,0,0,0,1,nan,0,1,1012,94070,920,nan,nan,5,1,2,0,nan,5,1,49.66,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,20.05,96.8,0,0,347.62,444.42,0
6101-IMRMM,1,0,nan,1,0,1,0,0,0,0,1012,94574,1218,38.581354,-122.296283,3,0,1,1,33,0,1,35.31,1,2,3,0,0,0,0,0,2,0,0,0,2,1,3,24.5,740.3,35.05,0,1165.23,1870.48,4
7131-ZQZNK,1,0,20,1,0,2,1,2,0,0,441,90638,287,33.902045,nan,3,0,1,1,7,0,1,25.64,0,1,1,nan,1,0,0,0,0,0,0,1,0,0,1,50.7,350.35,0,0,179.48,529.83,0
1775-KWJKQ,1,0,27,1,0,0,2,0,0,0,500,90026,423,34.078991,-118.263804,3,0,0,0,4,5,1,nan,1,1,2,73,1,0,0,2,0,0,0,1,0,1,3,80.15,319.85,0,0,26,345.85,0
4078-SAYYN,1,2,65,0,1,2,0,0,0,0,802,94583,1526,37.766556,-121.976784,2,0,0,nan,4,6,1,49.5,1,2,2,23,0,2,0,2,2,1,1,1,0,1,0,nan,424.45,0,nan,198,622.45,1
9774-NRNAU,1,2,75,0,1,1,1,nan,0,0,750,94571,1116,nan,-121.737696,3,1,1,8,57,6,1,nan,0,1,2,15,0,1,1,2,1,0,0,1,0,1,1,95.3,5567.45,0,0,nan,7177.7,0
2123-AGEEN,1,1,20,1,0,0,0,nan,0,0,917,90501,245,33.833699,-118.314387,3,0,0,0,20,6,1,31.02,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,19.4,415.4,0,nan,620.4,1035.8,0
0742-MOABM,1,0,39,0,0,0,0,0,0,0,239,96024,1454,nan,nan,nan,0,0,nan,16,4,1,18.99,1,2,2,30,0,1,1,0,0,1,1,1,0,1,1,95.6,1555.65,0,0,303.84,1859.49,3
5884-GCYMI,1,0,57,2,0,0,0,0,0,0,309,nan,759,36.623632,-119.741322,nan,0,0,0,65,0,1,nan,0,1,0,17,1,1,1,1,1,1,1,1,3,1,0,84.85,5459.2,0,0,2713.1,8172.3,0
3452-GWUIN,1,1,29,1,0,1,2,0,0,0,22,92801,251,33.844983,-117.952151,3,0,1,2,71,1,2,40.63,1,1,1,69,1,1,0,1,0,0,1,1,2,0,0,nan,4681.75,4.7,0,2884.73,7561.78,0
6713-OKOMC,1,1,61,0,0,0,0,nan,0,1,378,92347,639,34.983808,nan,3,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
9039-ZVJDC,1,0,65,0,1,2,1,nan,0,0,570,91755,392,34.049172,-118.115022,nan,0,1,nan,65,6,1,19.58,1,1,4,26,0,1,1,0,1,1,1,1,1,1,0,107.45,7047.5,0,0,1272.7,8320.2,0
8701-DGLVH,1,0,62,0,0,0,2,0,0,0,195,96021,1400,39.913777,-122.289984,nan,1,0,0,5,0,1,41.93,0,0,3,0,2,0,0,0,0,0,0,0,3,2,1,19.65,92.05,0,nan,209.65,301.7,0
8630-FJLIB,1,0,44,0,0,2,1,2,0,0,500,nan,451,34.108455,-118.362081,3,0,1,10,16,4,2,7.14,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,19.7,301.55,0,0,114.24,nan,0
1850-AKQEP,1,1,24,1,0,1,0,0,1,1,1012,nan,1526,nan,nan,nan,1,1,5,43,2,1,48.1,1,1,1,51,1,0,0,1,0,1,1,1,1,1,3,71.9,3173.35,nan,0,2068.3,5241.65,0
8313-NDOIA,1,2,62,0,0,0,1,1,1,0,773,92405,481,34.142747,-117.300864,nan,1,0,0,61,2,1,32.05,1,0,3,0,0,0,0,0,0,0,0,2,2,1,1,nan,nan,0,0,1955.05,3453.4,0
2703-AMTUL,1,0,60,0,0,0,0,0,0,0,728,92067,93,33.012751,nan,nan,1,2,0,17,0,2,22.61,2,1,2,19,0,1,0,0,1,0,0,1,0,1,0,83.55,nan,0,0,nan,1713.52,0
5789-LDFXO,1,0,nan,0,0,0,0,0,0,0,262,95625,1155,38.349195,-121.902943,3,0,0,nan,4,0,1,27.57,0,1,4,27,0,2,0,2,2,0,0,1,0,1,3,79,303.15,0,0,110.28,413.43,2
4522-AKYLR,1,0,49,0,0,0,0,0,0,0,306,94555,933,37.555473,-122.080312,3,0,0,0,1,0,1,43.06,2,1,2,9,1,1,0,1,2,0,0,1,3,1,1,nan,83.4,0,0,43.06,126.46,0
2121-JAFOM,1,1,39,0,0,1,0,nan,0,0,1012,nan,1526,41.505916,-120.152505,3,1,1,10,67,0,2,0,0,1,1,6,2,1,0,1,0,1,1,1,2,1,0,nan,nan,0,0,0,3521.7,0
1732-FEKLD,1,0,51,0,0,0,0,0,0,0,424,93930,1526,36.220761,-120.980777,3,1,0,0,64,0,1,44.31,2,1,2,4,1,1,1,1,1,1,1,1,2,2,0,115.1,7334.05,nan,nan,2835.84,10169.89,0
6860-YRJZP,nan,0,21,2,0,1,0,0,0,0,242,91010,483,34.145695,nan,3,1,1,7,11,0,1,1.92,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,20.6,233.9,0,0,21.12,255.02,0
8070-AAWZP,1,1,56,0,2,1,1,3,1,0,705,95726,1261,nan,-120.453416,5,1,1,2,38,0,1,nan,1,1,0,30,0,1,1,0,1,1,1,1,1,0,3,78.95,nan,0,nan,519.46,3382.01,0
5067-XJQFU,1,1,46,0,0,0,0,0,0,0,349,nan,1049,37.902968,-119.667544,5,1,0,0,3,5,1,13.72,0,1,2,26,0,1,0,0,0,1,1,1,0,0,0,84.3,235.05,0,0,nan,276.21,0
4847-QNOKA,nan,2,nan,2,2,2,2,nan,1,0,132,95923,1417,40.171312,-121.120605,5,0,2,3,41,0,1,20.41,1,1,4,nan,0,1,1,1,1,1,1,1,1,1,0,109.1,4454.25,0,0,836.81,5291.06,0
0807-ZABDG,nan,1,44,0,0,1,2,nan,0,0,315,92840,214,33.787165,-117.931889,3,0,1,7,44,6,1,32.22,2,0,4,0,0,0,0,0,0,0,0,0,3,0,0,24.85,1013.6,0,0,1417.68,2431.28,0
7233-IOQNP,nan,2,nan,2,2,2,2,nan,0,0,760,91770,410,34.065108,-118.082791,3,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
1384-RCUXW,1,0,33,0,0,2,0,0,0,0,121,96124,1382,39.672813,nan,5,0,0,0,36,0,1,44.87,2,2,0,8,1,1,1,1,1,2,0,1,3,1,1,76.35,2606.35,0,0,1615.32,4221.67,0
9968-FFVVH,1,1,nan,0,0,0,0,0,1,1,1012,nan,1526,nan,nan,4,0,0,0,1,0,1,14.65,0,1,0,15,0,0,1,1,2,0,0,1,0,0,1,nan,55.05,0,0,14.65,69.7,0
7989-CHGTL,1,0,24,1,0,0,0,0,0,0,227,95315,904,37.422961,-120.765493,nan,0,2,0,1,5,2,26.12,0,0,3,0,2,0,2,0,0,0,0,0,0,2,1,20.5,nan,nan,0,26.12,46.62,4
8096-LOIST,1,1,43,2,0,1,0,0,0,0,716,nan,1356,39.408634,-123.045516,4,1,2,1,72,1,1,38.3,1,1,2,3,2,2,1,0,1,0,0,2,2,1,1,97.95,7114.25,0,0,2757.6,nan,0
5364-EVNIB,nan,2,nan,2,2,2,2,nan,0,0,940,91354,1526,nan,nan,nan,0,0,0,17,0,1,33.68,0,1,1,14,1,1,2,0,0,0,0,1,0,1,1,55.5,934.15,0,0,572.56,1506.71,0
4789-KWMXN,nan,0,32,0,0,0,0,0,0,0,440,91942,39,32.782501,-117.01611,nan,0,0,0,72,1,1,2.25,1,2,4,16,1,1,2,0,1,2,0,1,2,2,0,101.3,7261.25,nan,nan,162,7423.25,0
1084-UQCHV,1,2,27,1,0,1,2,1,1,1,1012,nan,1526,nan,nan,5,0,2,4,10,0,2,4.16,1,0,3,0,0,0,0,0,0,0,0,0,0,1,3,24.4,253.9,0,0,41.6,nan,0
0788-DXBFY,1,1,60,0,0,0,0,0,0,0,50,93306,671,35.449881,-118.841442,5,0,0,0,3,6,2,49.63,2,1,2,26,0,0,0,0,0,1,1,1,0,1,0,80.35,253.8,nan,0,148.89,402.69,0
6791-YBNAK,nan,0,34,0,0,2,0,0,0,0,932,nan,1407,40.022184,-121.062384,3,0,2,1,1,0,1,11.08,0,1,4,13,0,0,0,2,0,0,2,1,3,1,0,69.8,69.8,0,0,11.08,80.88,2
4837-QUSFT,1,0,50,0,0,2,0,0,1,1,1012,nan,1526,nan,nan,nan,0,1,2,72,1,2,38.44,1,1,2,16,0,1,1,2,1,1,2,1,1,1,0,108.5,8003.8,0,0,2767.68,10771.48,0
5948-UJZLF,1,0,68,2,1,1,0,0,0,0,1012,90063,386,34.044271,-118.185237,4,0,1,4,55,0,1,nan,1,1,2,21,0,1,1,1,0,2,2,1,2,0,0,nan,5044.8,12.48,0,1250.7,6283.02,0
0913-XWSCN,1,1,27,1,0,1,1,1,0,0,391,93234,713,nan,-120.080117,3,0,1,1,nan,0,1,29.67,1,1,2,nan,1,1,0,0,0,0,0,1,1,1,3,85.5,5696.6,0,0,2017.56,7714.16,0
1934-MKPXS,nan,2,nan,2,2,2,2,nan,0,0,378,92347,639,34.983808,-117.239306,3,0,1,6,30,0,1,40,0,0,3,0,0,0,0,0,2,2,0,0,2,0,1,21.25,711.9,nan,nan,1200,1911.9,0
6435-VWCCY,1,0,39,0,0,1,1,2,0,0,183,95426,1279,38.838088,-122.73203,4,0,1,3,6,0,1,49.45,2,1,1,10,0,2,0,1,0,0,0,1,0,1,1,48.8,297.35,0,0,296.7,594.05,0
0402-CQAJN,1,0,69,0,1,2,0,0,0,0,993,95388,902,37.421299,-120.599587,1,0,2,nan,1,0,1,nan,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1,50.55,50.55,0,nan,nan,73.11,2
2359-KMGLI,1,1,73,0,1,2,0,0,0,0,348,95636,1235,38.636102,-120.522149,nan,0,0,0,9,0,1,10.04,2,1,2,13,2,0,2,0,2,1,0,1,0,2,0,83.85,790.15,0,0,90.36,880.51,2
9391-EOYLI,1,1,29,1,0,0,0,nan,0,0,888,90743,180,33.728273,nan,nan,0,0,nan,17,0,1,38.78,1,1,2,59,1,2,1,1,1,0,0,1,0,2,0,nan,1672.1,0,nan,nan,2331.36,0
7356-AYNJP,nan,1,45,0,0,0,0,0,1,1,1012,nan,1526,nan,nan,3,1,0,0,32,0,1,25.21,2,1,2,26,0,0,2,1,2,1,1,1,0,1,0,96.2,3183.4,0,0,806.72,3990.12,3
7892-POOKP,1,1,24,1,0,1,2,1,1,1,1012,nan,1526,nan,nan,3,0,1,1,72,6,1,22.78,2,0,3,nan,0,0,0,0,0,0,0,0,2,0,0,20.35,1354.4,nan,nan,1640.16,2994.56,0
8050-XGRVL,1,1,nan,0,0,2,0,0,0,0,500,90025,389,34.046174,-118.446333,nan,0,2,1,66,6,2,25.83,1,1,2,24,0,1,2,0,0,1,2,1,1,0,0,95.3,6273.4,0,0,1704.78,7978.18,0
8755-OGKNA,nan,0,78,0,1,0,2,0,1,1,398,92210,134,33.537646,nan,3,0,0,0,1,5,1,24.75,0,1,2,nan,0,2,0,0,0,0,2,0,0,1,3,71.15,71.15,0,20,24.75,115.9,1
1818-ESQMW,1,2,nan,2,1,2,0,0,0,0,500,90018,370,34.028735,-118.317236,3,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
9133-AYJZG,1,1,32,0,0,0,0,0,0,0,19,95002,911,37.449537,-121.994813,1,0,0,0,7,5,1,9.25,1,1,2,29,0,0,1,0,2,1,1,1,3,1,0,98.05,713,0,0,64.75,nan,1
7814-LEEVE,nan,2,nan,2,2,2,2,nan,0,0,55,93604,916,37.458367,-119.345011,nan,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
6022-UGGSO,1,1,69,0,1,1,0,0,0,0,685,91962,53,32.800671,-116.483363,3,0,1,7,69,0,0,0,0,1,4,13,0,0,1,0,0,0,0,1,1,1,3,29.8,2134.3,nan,0,0,2134.3,0
7446-YPODE,1,1,71,0,1,1,0,0,1,0,938,91786,448,34.105493,-117.660934,3,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
8399-YNDCH,1,1,47,0,0,0,0,0,1,0,867,96128,1435,40.346634,nan,nan,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
5196-WPYOW,1,1,28,1,0,0,0,0,1,1,22,92802,226,nan,-117.923782,nan,0,0,0,4,5,1,43.77,2,1,1,nan,0,0,2,0,0,0,1,1,0,1,1,44.8,nan,0,0,175.08,351.28,0
0856-NAOES,1,1,76,0,1,1,0,0,0,0,377,95324,896,37.394536,-120.890747,4,0,1,10,60,2,1,17.05,0,1,4,21,0,1,1,0,1,2,2,1,1,1,0,97.95,nan,0,0,1023,6890,0
2999-AANRQ,1,0,54,0,0,0,2,0,0,0,377,nan,896,nan,-120.890747,3,0,0,nan,nan,0,2,9.52,2,1,2,4,0,2,1,1,2,1,2,1,0,1,0,94.2,999.9,0,0,104.72,1104.62,0
7714-YXSMB,1,1,44,0,0,0,1,1,0,0,438,94020,857,37.285677,-122.224165,nan,0,0,0,1,5,0,0,0,1,0,19,0,1,0,1,2,0,0,0,0,0,1,33.6,33.6,0,50,0,83.6,0
3541-ZNUHK,nan,2,nan,2,2,2,2,nan,0,0,145,nan,748,36.5276,nan,5,0,0,0,20,0,1,22.75,1,1,0,11,0,1,0,1,0,1,1,1,0,1,1,68.9,nan,0,0,455,1825.35,0
7089-IVVAZ,1,0,56,0,0,0,0,0,0,0,51,nan,1526,37.4695,-120.672724,4,0,2,0,46,2,1,46.83,1,1,1,2,1,0,2,0,1,1,1,1,2,0,2,nan,3593.8,0,0,2154.18,nan,0
7817-BOQPW,nan,2,nan,2,2,2,2,nan,1,1,1012,nan,1526,nan,nan,5,0,2,0,1,0,1,29.19,0,0,3,0,2,0,0,0,0,0,0,0,3,0,1,20.3,20.3,nan,0,29.19,49.49,0
8496-EJAUI,1,0,57,0,0,0,0,0,0,0,190,90221,275,33.885811,nan,nan,0,0,0,1,5,1,15.92,0,1,2,11,0,0,0,0,0,0,0,1,0,1,0,70.3,nan,0,0,15.92,nan,2
8059-UDZFY,nan,0,55,0,0,1,2,0,1,0,994,93669,859,37.287758,-119.548156,4,0,1,1,4,0,0,nan,0,1,1,29,0,0,2,0,2,0,0,1,0,1,0,25.15,99.95,0,nan,0,99.95,0
9643-YBLUR,1,1,63,0,0,2,0,0,1,0,795,95046,1526,37.084697,-121.606417,3,0,1,1,25,0,2,nan,0,1,4,4,0,0,0,0,1,1,1,0,1,1,0,90.4,2178.6,0,nan,881.75,nan,1
4829-ZLJTK,1,1,61,0,0,1,2,0,0,0,611,92258,290,nan,-116.569499,2,1,1,1,7,0,1,5.13,0,2,4,4,0,0,1,2,2,0,0,1,0,0,0,48.7,340.25,0,0,35.91,nan,5
6176-YJWAS,1,1,28,2,0,0,0,0,1,0,405,93235,1526,36.385818,-119.224243,1,0,0,nan,1,5,1,10.98,0,2,3,0,0,0,0,0,0,0,0,0,0,1,3,20.2,nan,0,0,10.98,nan,4
7480-QNVZJ,1,0,38,0,0,1,2,3,0,0,1012,90717,219,33.794209,-118.317354,2,0,1,5,4,0,1,42.71,0,1,1,nan,0,1,0,1,0,0,0,1,0,2,1,56.5,nan,0,0,170.84,405.94,2
9441-QHEVC,nan,0,62,2,0,0,2,0,1,0,1012,95305,1021,nan,-120.256995,1,0,2,nan,7,6,1,46.79,1,1,2,25,0,0,0,0,0,0,0,1,0,2,0,74.9,nan,0,0,327.53,868.68,1
8751-EDEKA,1,0,20,1,0,0,2,0,0,0,500,90026,423,nan,-118.263804,4,0,2,0,1,0,1,10.05,2,1,2,51,0,0,0,0,2,0,0,0,0,2,0,70.25,70.25,0,10,10.05,90.3,0
4530-NDRKU,1,1,58,2,0,0,0,0,0,1,174,95423,1309,39.07116,nan,2,0,0,0,2,0,1,11.75,0,1,2,4,2,2,0,0,0,0,0,1,0,1,3,67.75,116.65,0,0,23.5,140.15,5
7392-YYPYJ,1,2,39,0,0,0,0,0,0,0,777,92139,1526,32.677716,-117.047666,5,0,0,0,43,2,2,19.66,1,1,2,nan,0,0,0,0,0,0,0,1,0,1,1,75.35,3161.4,0,nan,845.38,nan,0
