Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Satisfication Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn_Category
1135-HIORI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,California,French Camp,95231,"37.873283, -121.292034",37.873283,-121.292034,4,NaN,No,0,NaN,Offer E,Yes,30.8,No,Yes,DSL,27,No,Yes,No,Yes,Yes,No,No,Yes,NaN,Yes,Bank Withdrawal,NaN,520.95,0,0,NaN,767.35,0
6230-BSUXY,1,NaN,34,NaN,No,No,No,NaN,United States,California,Mission Viejo,92692,"33.60693, -117.644253",33.60693,-117.644253,3,Q3,No,0,1,NaN,Yes,2.24,No,Yes,Fiber Optic,6,No,No,NaN,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.15,70.15,0,NaN,2.24,NaN,0
9667-EQRXU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Artesia,90701,NaN,33.867593,-118.080637,NaN,Q3,Yes,2,60,None,Yes,22.95,Yes,Yes,Fiber Optic,15,No,Yes,NaN,No,NaN,Yes,Yes,Yes,One Year,Yes,NaN,104.35,6339.45,41.23,NaN,1377,7675.22,0
2014-MKGMH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Anaheim,NaN,"33.848733, -117.788357",33.848733,-117.788357,NaN,Q3,No,0,4,None,NaN,48.35,Yes,NaN,Cable,24,No,No,Yes,No,Yes,No,NaN,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,NaN,0,193.4,539.6,4
1270-XKUCC,1,Female,40,No,No,NaN,Yes,NaN,United States,California,Raymond,NaN,"37.252057, -119.95783",37.252057,NaN,3,Q3,Yes,1,6,Offer E,Yes,6.48,No,No,None,0,NaN,No,NaN,No,NaN,No,No,NaN,Month-to-Month,No,Credit Card,19.85,119.3,0,0,38.88,158.18,0
7207-RMRDB,1,Male,72,No,Yes,Yes,No,0,United States,NaN,San Diego,92129,NaN,NaN,-117.134917,3,Q3,Yes,1,33,None,NaN,27.78,Yes,Yes,NaN,8,No,No,No,No,NaN,NaN,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,NaN,0,0,NaN,4022.29,0
1934-SJVJK,1,Male,34,No,No,No,Yes,2,NaN,California,Los Angeles,90008,NaN,NaN,-118.346766,NaN,Q3,No,0,9,Offer E,Yes,27.64,No,Yes,Cable,29,No,Yes,No,No,No,No,NaN,NaN,Month-to-Month,Yes,Bank Withdrawal,50.1,484.05,0,NaN,248.76,732.81,1
7077-XJMET,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,No,0,71,None,Yes,4.89,Yes,No,None,0,NaN,No,No,No,No,NaN,No,NaN,NaN,NaN,Credit Card,24.35,1654.6,0,0,347.19,2001.79,0
1455-UGQVH,1,Male,79,No,NaN,Yes,No,0,United States,NaN,Burbank,91504,NaN,NaN,-118.317651,5,Q3,NaN,1,30,Offer C,Yes,48.02,Yes,Yes,NaN,24,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.5,NaN,0,0,1440.6,4358.25,0
2452-KDRRH,1,Male,54,No,No,No,No,NaN,United States,California,Gold Run,95717,"39.170376, -120.838404",39.170376,NaN,NaN,Q3,No,0,44,Offer B,NaN,49.57,Yes,Yes,Cable,21,No,NaN,Yes,Yes,Yes,NaN,Yes,No,One Year,NaN,Bank Withdrawal,NaN,NaN,0,100,NaN,5985.23,3
7351-MHQVU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Rough And Ready,95975,NaN,39.225634,-121.156163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
8631-XVRZL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,NaN,Palmdale,NaN,"34.536232, -118.082935",34.536232,-118.082935,3,Q3,Yes,9,18,None,Yes,43.69,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.65,471.35,0,0,786.42,1257.77,0
3143-ILDAL,1,Female,58,No,No,Yes,No,0,United States,California,Woody,93287,"35.710244, -118.881679",35.710244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
4797-AXPXK,1,Female,NaN,Yes,No,Yes,Yes,2,United States,California,Tranquillity,93668,"36.635661, -120.288644",36.635661,-120.288644,3,Q3,Yes,7,36,None,Yes,40.54,Yes,Yes,Cable,59,Yes,NaN,Yes,NaN,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,92.9,3379.25,0,0,1459.44,4838.69,0
6164-HAQTX,NaN,NaN,24,Yes,No,Yes,Yes,3,United States,NaN,Hoopa,95546,"41.163637, -123.704841",41.163637,NaN,4,Q3,Yes,9,72,Offer A,No,NaN,No,Yes,DSL,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NaN,Two Year,Yes,Credit Card,NaN,NaN,0,80,0,4558.85,0
1930-QPBVZ,1,Male,29,Yes,No,NaN,No,0,United States,California,Sunnyvale,NaN,"37.3511, -122.037311",37.3511,-122.037311,4,Q3,No,0,21,Offer D,No,0,No,Yes,DSL,26,Yes,No,No,NaN,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,NaN,1011.5,0,0,0,1011.5,0
0526-SXDJP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Stanford,94305,NaN,37.424342,-122.165641,3,Q3,No,0,69,Offer A,Yes,NaN,Yes,Yes,DSL,28,Yes,No,Yes,Yes,NaN,Yes,NaN,Yes,Two Year,Yes,Credit Card,85.35,5897.4,0,NaN,1274.43,7171.83,0
3671-SHRSP,1,Female,NaN,No,No,No,Yes,NaN,United States,NaN,NaN,94070,"37.497915, -122.267361",NaN,NaN,5,NaN,NaN,0,NaN,Offer E,Yes,49.66,No,No,None,0,No,No,No,No,NaN,No,No,No,One Year,No,Credit Card,20.05,96.8,0,0,347.62,444.42,0
6101-IMRMM,1,Female,NaN,Yes,No,Yes,No,0,United States,California,NaN,94574,"38.581354, -122.296283",38.581354,-122.296283,3,Q3,Yes,1,33,None,Yes,35.31,Yes,NaN,None,0,No,No,No,No,NaN,No,No,No,Two Year,Yes,NaN,24.5,740.3,35.05,0,1165.23,1870.48,0
7131-ZQZNK,1,Female,20,Yes,No,NaN,Yes,2,United States,California,La Mirada,90638,"33.902045, -118.008961",33.902045,NaN,3,Q3,Yes,1,7,None,Yes,25.64,No,Yes,DSL,NaN,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.7,350.35,0,0,179.48,529.83,2
7401-RUBNK,1,Female,66,No,Yes,Yes,NaN,0,United States,California,San Diego,92122,"32.85723, -117.209779",32.85723,-117.209774,1,Q3,Yes,2,55,Offer B,NaN,42.82,Yes,Yes,Fiber Optic,27,No,NaN,Yes,No,No,No,No,No,Month-to-Month,Yes,NaN,85.45,4874.7,0,90,2355.1,7319.8,0
1775-KWJKQ,1,Female,27,Yes,No,No,NaN,0,United States,California,Los Angeles,90026,"34.078991, -118.263804",34.078991,-118.263804,3,Q3,No,0,4,Offer E,Yes,NaN,Yes,Yes,Fiber Optic,73,Yes,No,No,NaN,No,No,No,Yes,Month-to-Month,Yes,NaN,80.15,319.85,0,0,26,345.85,0
4078-SAYYN,1,NaN,65,No,Yes,NaN,No,0,United States,California,San Ramon,94583,NaN,37.766556,-121.976784,2,Q3,No,NaN,4,NaN,Yes,49.5,Yes,NaN,Fiber Optic,23,No,NaN,No,NaN,NaN,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,NaN,424.45,0,NaN,198,622.45,0
9774-NRNAU,1,NaN,75,No,Yes,Yes,Yes,NaN,United States,California,Rio Vista,94571,"38.148862, -121.737696",NaN,-121.737696,3,NaN,Yes,8,57,NaN,Yes,NaN,No,Yes,Fiber Optic,15,No,Yes,Yes,NaN,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,95.3,5567.45,0,0,NaN,7177.7,0
2123-AGEEN,1,Male,20,Yes,No,No,No,NaN,United States,California,Torrance,90501,"33.833699, -118.314387",33.833699,-118.314387,3,Q3,No,0,20,NaN,Yes,31.02,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.4,415.4,0,NaN,620.4,1035.8,0
7925-PNRGI,1,Male,34,No,No,Yes,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
8290-YWKHZ,1,Female,25,Yes,No,No,No,0,United States,NaN,Glendale,91203,NaN,34.153338,-118.262974,5,Q3,No,0,1,None,Yes,47.36,No,Yes,Cable,41,No,No,NaN,No,No,No,No,Yes,NaN,No,Credit Card,NaN,45.3,0,0,47.36,NaN,0
0742-MOABM,1,Female,39,No,No,No,No,0,United States,California,Douglas City,96024,"40.586588, -122.903677",NaN,NaN,NaN,Q3,No,NaN,16,Offer D,Yes,18.99,Yes,NaN,Fiber Optic,30,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.6,1555.65,0,0,303.84,1859.49,0
2957-LOLHO,1,Female,67,No,Yes,Yes,NaN,NaN,United States,NaN,NaN,91384,"34.506627, -118.699048",34.506627,-118.699048,3,Q3,Yes,1,50,Offer B,Yes,31.56,Yes,NaN,Fiber Optic,4,NaN,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95.05,NaN,0,50,1578,6516.7,0
1237-WIYYZ,1,Female,26,Yes,No,No,NaN,2,United States,NaN,Ramona,92065,"33.044541, -116.833922",33.044541,-116.833922,3,Q3,NaN,0,48,Offer B,NaN,0,No,Yes,DSL,48,No,Yes,Yes,NaN,No,NaN,NaN,Yes,NaN,No,Credit Card,45.55,2108.35,0,0,0,NaN,0
5884-GCYMI,1,Female,57,NaN,No,No,No,0,United States,California,Fresno,NaN,"36.623632, -119.741322",36.623632,-119.741322,NaN,Q3,No,0,65,None,Yes,NaN,No,Yes,Cable,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NaN,Yes,Bank Withdrawal,84.85,5459.2,0,0,2713.1,8172.3,0
8063-RJYNF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Planada,95365,"37.329725, -120.306399",37.329725,-120.306399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
3452-GWUIN,1,Male,29,Yes,No,Yes,NaN,0,United States,California,Anaheim,92801,"33.844983, -117.952151",33.844983,-117.952151,3,Q3,Yes,2,71,Offer A,NaN,40.63,Yes,Yes,DSL,69,Yes,Yes,No,Yes,No,No,Yes,Yes,Two Year,No,Bank Withdrawal,NaN,4681.75,4.7,0,2884.73,7561.78,0
3808-HFKDE,1,Female,31,No,No,Yes,No,0,United States,California,Oakland,NaN,"37.803883, -122.208417",37.803883,-122.208417,4,Q3,Yes,NaN,71,Offer A,No,0,No,Yes,Cable,8,Yes,Yes,No,NaN,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,NaN,4145.25,0,0,NaN,4145.25,0
6713-OKOMC,1,Male,61,No,No,No,No,NaN,United States,NaN,Hinkley,92347,"34.983808, -117.239306",34.983808,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
3039-MJSLN,1,NaN,62,No,No,Yes,No,0,NaN,California,Gerber,96035,"40.03194, -122.176023",40.03194,-122.176023,5,Q3,Yes,6,NaN,Offer D,Yes,37.08,No,Yes,Cable,7,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,67.8,653.15,0,0,NaN,1023.95,0
9039-ZVJDC,1,Female,65,No,Yes,NaN,Yes,NaN,United States,California,Monterey Park,91755,"34.049172, -118.115022",34.049172,-118.115022,NaN,Q3,Yes,NaN,65,NaN,Yes,19.58,Yes,Yes,NaN,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,107.45,7047.5,0,0,1272.7,8320.2,0
8701-DGLVH,1,Female,62,No,No,No,NaN,0,United States,California,Corning,96021,"39.913777, -122.289984",39.913777,-122.289984,NaN,NaN,No,0,5,None,Yes,41.93,No,No,None,0,NaN,No,No,No,No,No,No,No,NaN,NaN,Credit Card,19.65,92.05,0,NaN,209.65,301.7,2
