Customer_ID,Count,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Satisfication_Score,Quarter,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Churn_Category,,,,Churn_Category,Monthly_Charge
1764-VUUMT,1,Female,NaN,NaN,No,No,Yes,3,NaN,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,,,,2,NaN
7531-GQHME,1,Female,47,No,No,Yes,Yes,3,United States,California,Palmdale,93551,"34.613476, -118.256358",34.613476,-118.256358,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
4377-VDHYI,1,Male,50,No,No,Yes,Yes,3,United States,California,Fremont,94538,"37.505768, -121.962472",37.505768,-121.962472,4,Q3,Yes,5,35,Offer C,Yes,1.53,No,Yes,Fiber Optic,57,No,Yes,No,Yes,Yes,NaN,No,Yes,One Year,Yes,Bank Withdrawal,89.7,3165.6,0,0,NaN,3219.15,0,,,,0,89.7
7516-GMHUV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,NaN,96016,"40.936285, -121.572692",40.936285,-121.572692,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
5197-PYEPU,NaN,Female,64,No,No,Yes,No,0,United States,California,Temecula,92592,"33.507255, -117.029473",33.507255,NaN,2,NaN,Yes,NaN,40,Offer B,Yes,2.03,Yes,NaN,Fiber Optic,19,No,No,NaN,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,3303.05,0,0,81.2,3384.25,1,,,,1,84.85
2120-SMPEX,NaN,Female,39,No,No,Yes,No,0,United States,California,Huntington Beach,92647,NaN,33.723579,-118.005441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,,,,2,NaN
0496-AHOOK,1,Male,80,No,Yes,Yes,No,0,NaN,California,San Lucas,93954,"36.125529, -120.864443",36.125529,-120.864443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,,,,1,NaN
2805-AUFQN,NaN,NaN,50,No,No,No,No,0,United States,California,NaN,95630,"38.672638, -121.147403",38.672638,-121.147403,5,Q3,No,NaN,28,Offer C,Yes,13.69,No,NaN,Fiber Optic,12,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,91.25,NaN,0,0,383.32,2866.97,0,,,,0,91.25
0841-NULXI,1,NaN,28,Yes,No,Yes,Yes,NaN,United States,NaN,Colfax,95713,"39.084645, -120.894014",39.084645,-120.894014,3,Q3,Yes,1,71,Offer A,Yes,20.49,NaN,No,None,0,No,No,No,No,No,No,No,NaN,Two Year,NaN,Credit Card,NaN,1397.3,0,0,1454.79,2852.09,0,,,,0,NaN
0263-FJTQO,NaN,Female,63,NaN,No,No,NaN,0,United States,California,Manteca,95336,"37.830267, -121.201018",NaN,-121.201018,3,Q3,NaN,0,60,Offer B,Yes,39.41,Yes,No,NaN,0,No,No,No,NaN,No,No,No,No,NaN,No,Mailed Check,25,1505.05,0,0,2364.6,3869.65,0,,,,0,25
3280-NMUVX,1,Male,47,No,No,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,No,0,NaN,NaN,Yes,47.45,Yes,NaN,DSL,5,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,65.75,1111.2,0,0,806.65,1917.85,0,,,,0,65.75
1820-TQVEV,1,Female,74,No,Yes,Yes,No,0,United States,California,Los Olivos,93441,"34.70434, -120.02609",NaN,-120.02609,4,Q3,Yes,2,NaN,None,Yes,12.33,NaN,Yes,Cable,23,No,NaN,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,64.2,2106.3,0,0,419.22,2525.52,0,,,,0,64.2
1100-DDVRV,1,Female,57,No,No,No,No,0,United States,California,Gardena,90248,"33.876482, -118.284077",33.876482,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
9779-DPNEJ,1,Female,65,No,Yes,No,NaN,0,United States,California,NaN,NaN,"40.524535, -122.647172",40.524535,-122.647172,NaN,NaN,No,0,46,None,Yes,16.04,Yes,Yes,DSL,26,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,NaN,69.1,3255.35,0,0,737.84,3993.19,0,,,,0,69.1
8409-WQJUX,1,Male,73,No,Yes,Yes,No,0,NaN,California,Placentia,92870,"33.881158, -117.854783",33.881158,-117.854783,3,Q3,Yes,10,72,Offer A,NaN,NaN,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,93.05,6735.05,0,0,96.48,6831.53,0,,,,0,93.05
7493-TPUWZ,NaN,Male,77,No,Yes,Yes,No,0,United States,California,Menifee,NaN,"33.653338, -117.178271",33.653338,-117.178271,5,Q3,Yes,1,29,Offer C,Yes,NaN,Yes,Yes,DSL,NaN,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,NaN,1442,0,0,NaN,2533.85,0,,,,0,NaN
1135-HIORI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,California,French Camp,95231,"37.873283, -121.292034",37.873283,-121.292034,4,NaN,No,0,NaN,Offer E,Yes,30.8,No,Yes,DSL,27,No,Yes,No,Yes,Yes,No,No,Yes,NaN,Yes,Bank Withdrawal,NaN,520.95,0,0,NaN,767.35,0,,,,0,NaN
6230-BSUXY,1,NaN,34,NaN,No,No,No,NaN,United States,California,Mission Viejo,92692,"33.60693, -117.644253",33.60693,-117.644253,3,Q3,No,0,1,NaN,Yes,2.24,No,Yes,Fiber Optic,6,No,No,NaN,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.15,70.15,0,NaN,2.24,NaN,1,,,,1,70.15
9667-EQRXU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Artesia,90701,NaN,33.867593,-118.080637,NaN,Q3,Yes,2,60,None,Yes,22.95,Yes,Yes,Fiber Optic,15,No,Yes,NaN,No,NaN,Yes,Yes,Yes,One Year,Yes,NaN,104.35,6339.45,41.23,NaN,1377,7675.22,0,,,,0,104.35
2014-MKGMH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Anaheim,NaN,"33.848733, -117.788357",33.848733,-117.788357,NaN,Q3,No,0,4,None,NaN,48.35,Yes,NaN,Cable,24,No,No,Yes,No,Yes,No,NaN,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,NaN,0,193.4,539.6,1,,,,1,89.2
7207-RMRDB,1,Male,72,No,Yes,Yes,No,0,United States,NaN,San Diego,92129,NaN,NaN,-117.134917,3,Q3,Yes,1,33,None,NaN,27.78,Yes,Yes,NaN,8,No,No,No,No,NaN,NaN,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,NaN,0,0,NaN,4022.29,5,,,,5,94.5
1934-SJVJK,1,Male,34,No,No,No,Yes,2,NaN,California,Los Angeles,90008,NaN,NaN,-118.346766,NaN,Q3,No,0,9,Offer E,Yes,27.64,No,Yes,Cable,29,No,Yes,No,No,No,No,NaN,NaN,Month-to-Month,Yes,Bank Withdrawal,50.1,484.05,0,NaN,248.76,732.81,0,,,,0,50.1
7077-XJMET,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,No,0,71,None,Yes,4.89,Yes,No,None,0,NaN,No,No,No,No,NaN,No,NaN,NaN,NaN,Credit Card,24.35,1654.6,0,0,347.19,2001.79,0,,,,0,24.35
2452-KDRRH,1,Male,54,No,No,No,No,NaN,United States,California,Gold Run,95717,"39.170376, -120.838404",39.170376,NaN,NaN,Q3,No,0,44,Offer B,NaN,49.57,Yes,Yes,Cable,21,No,NaN,Yes,Yes,Yes,NaN,Yes,No,One Year,NaN,Bank Withdrawal,NaN,NaN,0,100,NaN,5985.23,0,,,,0,NaN
7351-MHQVU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Rough And Ready,95975,NaN,39.225634,-121.156163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,,,,4,NaN
8631-XVRZL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,NaN,Palmdale,NaN,"34.536232, -118.082935",34.536232,-118.082935,3,Q3,Yes,9,18,None,Yes,43.69,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.65,471.35,0,0,786.42,1257.77,0,,,,0,24.65
3143-ILDAL,1,Female,58,No,No,Yes,No,0,United States,California,Woody,93287,"35.710244, -118.881679",35.710244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,,,,3,NaN
4797-AXPXK,1,Female,NaN,Yes,No,Yes,Yes,2,United States,California,Tranquillity,93668,"36.635661, -120.288644",36.635661,-120.288644,3,Q3,Yes,7,36,None,Yes,40.54,Yes,Yes,Cable,59,Yes,NaN,Yes,NaN,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,92.9,3379.25,0,0,1459.44,4838.69,0,,,,0,92.9
6164-HAQTX,NaN,NaN,24,Yes,No,Yes,Yes,3,United States,NaN,Hoopa,95546,"41.163637, -123.704841",41.163637,NaN,4,Q3,Yes,9,72,Offer A,No,NaN,No,Yes,DSL,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NaN,Two Year,Yes,Credit Card,NaN,NaN,0,80,0,4558.85,0,,,,0,NaN
0526-SXDJP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Stanford,94305,NaN,37.424342,-122.165641,3,Q3,No,0,69,Offer A,Yes,NaN,Yes,Yes,DSL,28,Yes,No,Yes,Yes,NaN,Yes,NaN,Yes,Two Year,Yes,Credit Card,85.35,5897.4,0,NaN,1274.43,7171.83,0,,,,0,85.35
3671-SHRSP,1,Female,NaN,No,No,No,Yes,NaN,United States,NaN,NaN,94070,"37.497915, -122.267361",NaN,NaN,5,NaN,NaN,0,NaN,Offer E,Yes,49.66,No,No,None,0,No,No,No,No,NaN,No,No,No,One Year,No,Credit Card,20.05,96.8,0,0,347.62,444.42,0,,,,0,20.05
6101-IMRMM,1,Female,NaN,Yes,No,Yes,No,0,United States,California,NaN,94574,"38.581354, -122.296283",38.581354,-122.296283,3,Q3,Yes,1,33,None,Yes,35.31,Yes,NaN,None,0,No,No,No,No,NaN,No,No,No,Two Year,Yes,NaN,24.5,740.3,35.05,0,1165.23,1870.48,4,,,,4,24.5
7131-ZQZNK,1,Female,20,Yes,No,NaN,Yes,2,United States,California,La Mirada,90638,"33.902045, -118.008961",33.902045,NaN,3,Q3,Yes,1,7,None,Yes,25.64,No,Yes,DSL,NaN,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.7,350.35,0,0,179.48,529.83,0,,,,0,50.7
1775-KWJKQ,1,Female,27,Yes,No,No,NaN,0,United States,California,Los Angeles,90026,"34.078991, -118.263804",34.078991,-118.263804,3,Q3,No,0,4,Offer E,Yes,NaN,Yes,Yes,Fiber Optic,73,Yes,No,No,NaN,No,No,No,Yes,Month-to-Month,Yes,NaN,80.15,319.85,0,0,26,345.85,0,,,,0,80.15
4078-SAYYN,1,NaN,65,No,Yes,NaN,No,0,United States,California,San Ramon,94583,NaN,37.766556,-121.976784,2,Q3,No,NaN,4,NaN,Yes,49.5,Yes,NaN,Fiber Optic,23,No,NaN,No,NaN,NaN,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,NaN,424.45,0,NaN,198,622.45,1,,,,1,NaN
9774-NRNAU,1,NaN,75,No,Yes,Yes,Yes,NaN,United States,California,Rio Vista,94571,"38.148862, -121.737696",NaN,-121.737696,3,NaN,Yes,8,57,NaN,Yes,NaN,No,Yes,Fiber Optic,15,No,Yes,Yes,NaN,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,95.3,5567.45,0,0,NaN,7177.7,0,,,,0,95.3
2123-AGEEN,1,Male,20,Yes,No,No,No,NaN,United States,California,Torrance,90501,"33.833699, -118.314387",33.833699,-118.314387,3,Q3,No,0,20,NaN,Yes,31.02,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.4,415.4,0,NaN,620.4,1035.8,0,,,,0,19.4
0742-MOABM,1,Female,39,No,No,No,No,0,United States,California,Douglas City,96024,"40.586588, -122.903677",NaN,NaN,NaN,Q3,No,NaN,16,Offer D,Yes,18.99,Yes,NaN,Fiber Optic,30,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.6,1555.65,0,0,303.84,1859.49,3,,,,3,95.6
5884-GCYMI,1,Female,57,NaN,No,No,No,0,United States,California,Fresno,NaN,"36.623632, -119.741322",36.623632,-119.741322,NaN,Q3,No,0,65,None,Yes,NaN,No,Yes,Cable,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NaN,Yes,Bank Withdrawal,84.85,5459.2,0,0,2713.1,8172.3,0,,,,0,84.85
3452-GWUIN,1,Male,29,Yes,No,Yes,NaN,0,United States,California,Anaheim,92801,"33.844983, -117.952151",33.844983,-117.952151,3,Q3,Yes,2,71,Offer A,NaN,40.63,Yes,Yes,DSL,69,Yes,Yes,No,Yes,No,No,Yes,Yes,Two Year,No,Bank Withdrawal,NaN,4681.75,4.7,0,2884.73,7561.78,0,,,,0,NaN
6713-OKOMC,1,Male,61,No,No,No,No,NaN,United States,NaN,Hinkley,92347,"34.983808, -117.239306",34.983808,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
9039-ZVJDC,1,Female,65,No,Yes,NaN,Yes,NaN,United States,California,Monterey Park,91755,"34.049172, -118.115022",34.049172,-118.115022,NaN,Q3,Yes,NaN,65,NaN,Yes,19.58,Yes,Yes,NaN,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,107.45,7047.5,0,0,1272.7,8320.2,0,,,,0,107.45
8701-DGLVH,1,Female,62,No,No,No,NaN,0,United States,California,Corning,96021,"39.913777, -122.289984",39.913777,-122.289984,NaN,NaN,No,0,5,None,Yes,41.93,No,No,None,0,NaN,No,No,No,No,No,No,No,NaN,NaN,Credit Card,19.65,92.05,0,NaN,209.65,301.7,0,,,,0,19.65
8630-FJLIB,1,Female,44,No,No,NaN,Yes,2,United States,California,Los Angeles,NaN,"34.108455, -118.362081",34.108455,-118.362081,3,Q3,Yes,10,16,Offer D,NaN,7.14,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.7,301.55,0,0,114.24,NaN,0,,,,0,19.7
1850-AKQEP,1,Male,24,Yes,No,Yes,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,5,43,Offer B,Yes,48.1,Yes,Yes,DSL,51,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,NaN,71.9,3173.35,NaN,0,2068.3,5241.65,0,,,,0,71.9
8313-NDOIA,1,NaN,62,No,No,No,Yes,1,NaN,California,San Bernardino,92405,"34.142747, -117.300864",34.142747,-117.300864,NaN,NaN,No,0,61,Offer B,Yes,32.05,Yes,No,None,0,No,No,No,No,No,No,No,NaN,Two Year,Yes,Credit Card,NaN,NaN,0,0,1955.05,3453.4,0,,,,0,NaN
2703-AMTUL,1,Female,60,No,No,No,No,0,United States,California,Rancho Santa Fe,92067,"33.012751, -117.200617",33.012751,NaN,NaN,NaN,NaN,0,17,None,NaN,22.61,NaN,Yes,Fiber Optic,19,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.55,NaN,0,0,NaN,1713.52,0,,,,0,83.55
5789-LDFXO,1,Female,NaN,No,No,No,No,0,United States,California,Elmira,95625,"38.349195, -121.902943",38.349195,-121.902943,3,Q3,No,NaN,4,None,Yes,27.57,No,Yes,NaN,27,No,NaN,No,NaN,NaN,No,No,Yes,Month-to-Month,Yes,NaN,79,303.15,0,0,110.28,413.43,2,,,,2,79
4522-AKYLR,1,Female,49,No,No,No,No,0,United States,California,Fremont,94555,"37.555473, -122.080312",37.555473,-122.080312,3,Q3,No,0,1,None,Yes,43.06,NaN,Yes,Fiber Optic,9,Yes,Yes,No,Yes,NaN,No,No,Yes,NaN,Yes,Credit Card,NaN,83.4,0,0,43.06,126.46,0,,,,0,NaN
2121-JAFOM,1,Male,39,No,No,Yes,No,NaN,United States,California,NaN,NaN,NaN,41.505916,-120.152505,3,NaN,Yes,10,67,None,NaN,0,No,Yes,DSL,6,NaN,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,NaN,NaN,0,0,0,3521.7,0,,,,0,NaN
1732-FEKLD,1,Female,51,No,No,No,No,0,United States,California,King City,93930,NaN,36.220761,-120.980777,3,NaN,No,0,64,None,Yes,44.31,NaN,Yes,Fiber Optic,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,NaN,Bank Withdrawal,115.1,7334.05,NaN,NaN,2835.84,10169.89,0,,,,0,115.1
6860-YRJZP,NaN,Female,21,NaN,No,Yes,No,0,United States,California,Duarte,91010,"34.145695, -117.95982",34.145695,NaN,3,NaN,Yes,7,11,None,Yes,1.92,No,No,None,0,No,No,No,No,No,No,No,No,One Year,NaN,Credit Card,20.6,233.9,0,0,21.12,255.02,0,,,,0,20.6
8070-AAWZP,1,Male,56,No,NaN,Yes,Yes,3,NaN,California,Pollock Pines,95726,"38.733908, -120.453416",NaN,-120.453416,5,NaN,Yes,2,38,None,Yes,NaN,Yes,Yes,Cable,30,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,NaN,78.95,NaN,0,NaN,519.46,3382.01,0,,,,0,78.95
5067-XJQFU,1,Male,46,No,No,No,No,0,United States,California,Groveland,NaN,"37.902968, -119.667544",37.902968,-119.667544,5,NaN,No,0,3,Offer E,Yes,13.72,No,Yes,Fiber Optic,26,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.3,235.05,0,0,NaN,276.21,0,,,,0,84.3
4847-QNOKA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,California,Canyon Dam,95923,"40.171312, -121.120605",40.171312,-121.120605,5,Q3,NaN,3,41,None,Yes,20.41,Yes,Yes,NaN,NaN,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.1,4454.25,0,0,836.81,5291.06,0,,,,0,109.1
0807-ZABDG,NaN,Male,44,No,No,Yes,NaN,NaN,United States,California,Garden Grove,92840,"33.787165, -117.931889",33.787165,-117.931889,3,Q3,Yes,7,44,NaN,Yes,32.22,NaN,No,NaN,0,No,No,No,No,No,No,No,No,NaN,No,Bank Withdrawal,24.85,1013.6,0,0,1417.68,2431.28,0,,,,0,24.85
7233-IOQNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
1384-RCUXW,1,Female,33,No,No,NaN,No,0,United States,California,Calpine,96124,"39.672813, -120.456699",39.672813,NaN,5,Q3,No,0,36,None,Yes,44.87,NaN,NaN,Cable,8,Yes,Yes,Yes,Yes,Yes,NaN,No,Yes,NaN,Yes,Credit Card,76.35,2606.35,0,0,1615.32,4221.67,0,,,,0,76.35
9968-FFVVH,1,Male,NaN,No,No,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,No,0,1,None,Yes,14.65,No,Yes,Cable,15,No,No,Yes,Yes,NaN,No,No,Yes,Month-to-Month,No,Credit Card,NaN,55.05,0,0,14.65,69.7,0,,,,0,NaN
7989-CHGTL,1,Female,24,Yes,No,No,No,0,United States,California,Delhi,95315,"37.422961, -120.765493",37.422961,-120.765493,NaN,Q3,NaN,0,1,Offer E,NaN,26.12,No,No,None,0,NaN,No,NaN,No,No,No,No,No,Month-to-Month,NaN,Credit Card,20.5,NaN,NaN,0,26.12,46.62,4,,,,4,20.5
8096-LOIST,1,Male,43,NaN,No,Yes,No,0,United States,California,Potter Valley,NaN,"39.408634, -123.045516",39.408634,-123.045516,4,NaN,NaN,1,72,Offer A,Yes,38.3,Yes,Yes,Fiber Optic,3,NaN,NaN,Yes,No,Yes,No,No,NaN,Two Year,Yes,Credit Card,97.95,7114.25,0,0,2757.6,NaN,0,,,,0,97.95
5364-EVNIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Valencia,91354,NaN,NaN,NaN,NaN,Q3,No,0,17,None,Yes,33.68,No,Yes,DSL,14,Yes,Yes,NaN,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55.5,934.15,0,0,572.56,1506.71,0,,,,0,55.5
