Age,Married,Gender,Number_of_Dependents(mean/93460.99382 as:0.458579),Zip_Code,Total_Revenue,Satisfication_Score,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Churn_Category
49,1,1,0,93460.99382,3025.38111,5,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
46.78522868,0,1,3,90063,3025.38111,1,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,2
47,1,1,3,93551,3025.38111,4,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
50,1,2,3,94538,3219.15,4,5,35,3,1,1.53,0,1,1,57,0,1,0,1,1,0.379523662,0,1,365,1,1,89.7,3165.6,0,0,751.9429664,0
46.78522868,0.466172382,1.507892293,0.458721291,96016,3025.38111,4,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
64,1,1,0,92592,3384.25,2,1.840825123,40,2,1,2.03,1,0.774630542,1,19,0,0,0.333333333,1,0,0,0,1,30,1,1,84.85,3303.05,0,0,81.2,1
39,1,1,0,92647,3025.38111,3.260452152,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,2
80,1,2,0,93954,3025.38111,3.260452152,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,1
50,0,1.507892293,0,95630,2866.97,5,1.840825123,28,3,1,13.69,0,0.774630542,1,12,0,1,0,1,1,0,0,1,365,1,1,91.25,2259.597129,0,0,383.32,0
28,1,1.507892293,0.458721291,95713,2852.09,3,1,71,1,1,20.49,0.417030568,0,0,0,0,0,0,0,0,0,0,0.666460778,730,0.578473945,2,64.19761171,1397.3,0,0,1454.79,0
63,0,1,0,95336,3869.65,3,0,60,2,1,39.41,1,0,1.370243294,0,0,0,0,0.284119107,0,0,0,0,292.0086393,0,3,25,1505.05,0,0,2364.6,0
47,0,2,0,93460.99382,1917.85,4,0,32.40104487,1.390003085,1,47.45,1,0.774630542,3,5,1,0,0,0,0,1,1,1,30,0,1,65.75,1111.2,0,0,806.65,0
74,1,1,0,93441,2525.52,4,2,32.40104487,0,1,12.33,0.417030568,1,2,23,0,0.334686232,1,1,1,0,0,1,365,0,1,64.2,2106.3,0,0,419.22,0
57,0,1,0,90248,3025.38111,3,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
65,0,1,0,93460.99382,3993.19,3.260452152,0,46,0,1,16.04,1,1,3,26,0,0,1,1,0,1,1,1,365,1,1.505276226,69.1,3255.35,0,0,737.84,0
73,1,2,0,92870,6831.53,3,10,72,1,0.905519177,23.00672558,1,1,1,30,1,1,1,1,0,0,0,1,730,1,1,93.05,6735.05,0,0,96.48,0
77,1,2,0,93460.99382,2533.85,5,1,29,3,1,23.00672558,1,1,3,20.32366698,0,0,0,0,0,0,0,1,365,1,1,64.19761171,1442,0,0,751.9429664,0
46.78522868,0.466172382,1.507892293,0.458721291,95231,767.35,4,0,32.40104487,5,1,30.8,0,1,3,27,0,1,0,1,1,0,0,1,292.0086393,1,1,64.19761171,520.95,0,0,751.9429664,0
34,0,1.507892293,0.458721291,92692,3025.38111,3,0,1,1.390003085,1,2.24,0,1,1,6,0,0,0.333333333,0,0,0,0,1,30,1,3,70.15,70.15,0,6.506550218,2.24,1
46.78522868,0.466172382,1.507892293,0.458721291,90701,7675.22,3.260452152,2,60,0,1,22.95,1,1,1,15,0,1,0.333333333,0,0.377661216,1,1,1,365,1,1.505276226,104.35,6339.45,41.23,6.506550218,1377,0
46.78522868,0.466172382,1.507892293,0.458721291,93460.99382,539.6,3.260452152,0,4,0,0.905519177,48.35,1,0.774630542,2,24,0,0,1,0,1,0,0.346009975,1,30,1,1,89.2,346.2,2.040018645,0,193.4,1
72,1,2,0,92129,4022.29,3,1,33,0,0.905519177,27.78,1,1,1.370243294,8,0,0,0,0,0.377661216,0.379523662,0,1,30,1,1,94.5,2259.597129,0,0,751.9429664,5
34,0,2,2,90008,732.81,3.260452152,0,9,5,1,27.64,0,1,2,29,0,1,0,0,0,0,0.346009975,0.666460778,30,1,1,50.1,484.05,0,6.506550218,248.76,0
46.78522868,0.466172382,1.507892293,0.458721291,93460.99382,2001.79,4,0,71,0,1,4.89,1,0,0,0,0.284034653,0,0,0,0,0.379523662,0,0.666460778,292.0086393,0.578473945,2,24.35,1654.6,0,0,347.19,0
54,0,2,0.458721291,95717,5985.23,3.260452152,0,44,2,0.905519177,49.57,1,1,2,21,0,0.334686232,1,1,1,0.379523662,1,0,365,0.578473945,1,64.19761171,2259.597129,0,100,751.9429664,0
46.78522868,0.466172382,1.507892293,0.458721291,95975,3025.38111,3.260452152,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,4
46.78522868,0.466172382,1.507892293,0.458721291,93460.99382,1257.77,3,9,18,0,1,43.69,1,0,0,0,0,0,0,0,0,0,0,0,730,1,2,24.65,471.35,0,0,786.42,0
58,1,1,0,93287,3025.38111,3.260452152,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,3
46.78522868,1,1,2,93668,4838.69,3,7,36,0,1,40.54,1,1,2,59,1,0.334686232,1,0.284119107,1,1,1,1,730,1,2,92.9,3379.25,0,0,1459.44,0
24,1,1.507892293,3,95546,4558.85,4,9,72,1,0,23.00672558,0,1,3,51,1,1,1,1,1,1,1,0.666460778,730,1,2,64.19761171,2259.597129,0,80,0,0
46.78522868,0.466172382,1.507892293,0.458721291,94305,7171.83,3,0,69,1,1,23.00672558,1,1,3,28,1,0,1,1,0.377661216,1,0.346009975,1,730,1,2,85.35,5897.4,0,6.506550218,1274.43,0
46.78522868,0,1,0.458721291,94070,444.42,5,0,32.40104487,5,1,49.66,0,0,0,0,0,0,0,0,0.377661216,0,0,0,365,0,2,20.05,96.8,0,0,347.62,0
46.78522868,1,1,0,94574,1870.48,3,1,33,0,1,35.31,1,0.774630542,0,0,0,0,0,0,0.377661216,0,0,0,730,1,1.505276226,24.5,740.3,35.05,0,1165.23,4
20,0.466172382,1,2,90638,529.83,3,1,7,0,1,25.64,0,1,3,20.32366698,1,0,0,0,0,0,0,1,30,0,2,50.7,350.35,0,0,179.48,0
27,0,1,0,90026,345.85,3,0,4,5,1,23.00672558,1,1,1,73,1,0,0,0.284119107,0,0,0,1,30,1,1.505276226,80.15,319.85,0,0,26,0
65,0.466172382,1.507892293,0,94583,622.45,2,1.840825123,4,1.390003085,1,49.5,1,0.774630542,1,23,0,0.334686232,0,0.284119107,0.377661216,1,1,1,30,1,1,64.19761171,424.45,0,6.506550218,198,1
75,1,1.507892293,0.458721291,94571,7177.7,3,8,57,1.390003085,1,23.00672558,0,1,1,15,0,1,1,0.284119107,1,0,0,1,30,1,2,95.3,5567.45,0,0,751.9429664,0
20,0,2,0.458721291,90501,1035.8,3,0,20,1.390003085,1,31.02,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,19.4,415.4,0,6.506550218,620.4,0
39,0,1,0,96024,1859.49,3.260452152,1.840825123,16,4,1,18.99,1,0.774630542,1,30,0,1,1,0,0,1,1,1,30,1,2,95.6,1555.65,0,0,303.84,3
57,0,1,0,93460.99382,8172.3,3.260452152,0,65,0,1,23.00672558,0,1,2,17,1,1,1,1,1,1,1,1,292.0086393,1,1,84.85,5459.2,0,0,2713.1,0
29,1,2,0,92801,7561.78,3,2,71,1,0.905519177,40.63,1,1,3,69,1,1,0,1,0,0,1,1,730,0,1,64.19761171,4681.75,4.7,0,2884.73,0
61,0,2,0.458721291,92347,3025.38111,3,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
65,0.466172382,1,0.458721291,91755,8320.2,3.260452152,1.840825123,65,1.390003085,1,19.58,1,1,1.370243294,26,0,1,1,0,1,1,1,1,365,1,1,107.45,7047.5,0,0,1272.7,0
62,0,1,0,96021,301.7,3.260452152,0,5,0,1,41.93,0,0,0,0,0.284034653,0,0,0,0,0,0,0,292.0086393,0.578473945,2,19.65,92.05,0,6.506550218,209.65,0
44,0.466172382,1,2,93460.99382,3025.38111,3,10,16,4,0.905519177,7.14,0,0,0,0,0,0,0,0,0,0,0,0,730,0,2,19.7,301.55,0,0,114.24,0
24,1,2,0,93460.99382,5241.65,3.260452152,5,43,2,1,48.1,1,1,3,51,1,0,0,1,0,1,1,1,365,1,1.505276226,71.9,3173.35,2.040018645,0,2068.3,0
62,0,1.507892293,1,92405,3453.4,3.260452152,0,61,2,1,32.05,1,0,0,0,0,0,0,0,0,0,0,0.666460778,730,1,2,64.19761171,2259.597129,0,0,1955.05,0
60,0,1,0,92067,1713.52,3.260452152,0,17,0,0.905519177,22.61,0.417030568,1,1,19,0,1,0,0,1,0,0,1,30,1,1,83.55,2259.597129,0,0,751.9429664,0
46.78522868,0,1,0,95625,413.43,3,1.840825123,4,0,1,27.57,0,1,1.370243294,27,0,0.334686232,0,0.284119107,0.377661216,0,0,1,30,1,1.505276226,79,303.15,0,0,110.28,2
49,0,1,0,94555,126.46,3,0,1,0,1,43.06,0.417030568,1,1,9,1,1,0,1,0.377661216,0,0,1,292.0086393,1,2,64.19761171,83.4,0,0,43.06,0
39,1,2,0.458721291,93460.99382,3521.7,3,10,67,0,0.905519177,0,0,1,3,6,0.284034653,1,0,1,0,1,1,1,730,1,1,64.19761171,2259.597129,0,0,0,0
51,0,1,0,93930,10169.89,3,0,64,0,1,44.31,0.417030568,1,1,4,1,1,1,1,1,1,1,1,730,0.578473945,1,115.1,7334.05,2.040018645,6.506550218,2835.84,0
21,1,1,0,91010,255.02,3,7,11,0,1,1.92,0,0,0,0,0,0,0,0,0,0,0,0,365,0.578473945,2,20.6,233.9,0,0,21.12,0
56,1,2,3,95726,3382.01,5,2,38,0,1,23.00672558,1,1,2,30,0,1,1,0,1,1,1,1,365,0,1.505276226,78.95,2259.597129,0,6.506550218,519.46,0
46,0,2,0,93460.99382,276.21,5,0,3,5,1,13.72,0,1,1,26,0,1,0,0,0,1,1,1,30,0,1,84.3,235.05,0,0,751.9429664,0
46.78522868,0.466172382,1.507892293,0.458721291,95923,5291.06,5,3,41,0,1,20.41,1,1,1.370243294,20.32366698,0,1,1,1,1,1,1,1,365,1,1,109.1,4454.25,0,0,836.81,0
44,1,2,0.458721291,92840,2431.28,3,7,44,1.390003085,1,32.22,0.417030568,0,1.370243294,0,0,0,0,0,0,0,0,0,292.0086393,0,1,24.85,1013.6,0,0,1417.68,0
46.78522868,0.466172382,1.507892293,0.458721291,91770,3025.38111,3,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
33,0.466172382,1,0,96124,4221.67,5,0,36,0,1,44.87,0.417030568,0.774630542,2,8,1,1,1,1,1,0.379523662,0,1,292.0086393,1,2,76.35,2606.35,0,0,1615.32,0
46.78522868,0,2,0,93460.99382,69.7,4,0,1,0,1,14.65,0,1,2,15,0,0,1,1,0.377661216,0,0,1,30,0,2,64.19761171,55.05,0,0,14.65,0
24,0,1,0,95315,46.62,3.260452152,0,1,5,0.905519177,26.12,0,0,0,0,0.284034653,0,0.333333333,0,0,0,0,0,30,0.578473945,2,20.5,2259.597129,2.040018645,0,26.12,4
43,1,2,0,93460.99382,3025.38111,4,1,72,1,1,38.3,1,1,1,3,0.284034653,0.334686232,1,0,1,0,0,0.666460778,730,1,2,97.95,7114.25,0,0,2757.6,0
46.78522868,0.466172382,1.507892293,0.458721291,91354,1506.71,3.260452152,0,17,0,1,33.68,0,1,3,14,1,1,0.333333333,0,0,0,0,1,30,1,2,55.5,934.15,0,0,572.56,0
32,0,1,0,91942,7423.25,3.260452152,0,72,1,1,2.25,1,0.774630542,1.370243294,16,1,1,0.333333333,0,1,0.379523662,0,1,730,0.578473945,1,101.3,7261.25,2.040018645,6.506550218,162,0
27,1,1.507892293,1,93460.99382,3025.38111,5,4,10,0,0.905519177,4.16,1,0,0,0,0,0,0,0,0,0,0,0,30,1,1.505276226,24.4,253.9,0,0,41.6,0
60,0,2,0,93306,402.69,5,0,3,1.390003085,0.905519177,49.63,0.417030568,1,1,26,0,0,0,0,0,1,1,1,30,1,1,80.35,253.8,2.040018645,0,148.89,0
34,0.466172382,1,0,93460.99382,80.88,3,1,1,0,1,11.08,0,1,1.370243294,13,0,0,0,0.284119107,0,0,0.346009975,1,292.0086393,1,1,69.8,69.8,0,0,11.08,2
50,0.466172382,1,0,93460.99382,10771.48,3.260452152,2,72,1,0.905519177,38.44,1,1,1,16,0,1,1,0.284119107,1,1,0.346009975,1,365,1,1,108.5,8003.8,0,0,2767.68,0
68,1,1,0,90063,6283.02,4,4,55,0,1,23.00672558,1,1,1,21,0,1,1,1,0,0.379523662,0.346009975,1,730,0,1,64.19761171,5044.8,12.48,0,1250.7,0
27,1,2,1,93234,7714.16,3,1,32.40104487,0,1,29.67,1,1,1,20.32366698,1,1,0,0,0,0,0,1,365,1,1.505276226,85.5,5696.6,0,0,2017.56,0
46.78522868,0.466172382,1.507892293,0.458721291,92347,1911.9,3,6,30,0,1,40,0,0,0,0,0,0,0,0,0.377661216,0.379523662,0,0,730,0,2,21.25,711.9,2.040018645,6.506550218,1200,0
39,1,1,2,95426,594.05,4,3,6,0,1,49.45,0.417030568,1,3,10,0,0.334686232,0,1,0,0,0,1,30,1,2,48.8,297.35,0,0,296.7,0
69,0.466172382,1,0,95388,73.11,1,1.840825123,1,0,1,23.00672558,0.417030568,1,2,2,0,0,0,0,0,0,0,1,30,0,2,50.55,50.55,0,6.506550218,751.9429664,2
73,0.466172382,2,0,95636,880.51,3.260452152,0,9,0,1,10.04,0.417030568,1,1,13,0.284034653,0,0.333333333,0,0.377661216,1,0,1,30,0.578473945,1,83.85,790.15,0,0,90.36,2
29,0,2,0.458721291,90743,2331.36,3.260452152,1.840825123,17,0,1,38.78,1,1,1,59,1,0.334686232,1,1,1,0,0,1,30,0.578473945,1,64.19761171,1672.1,0,6.506550218,751.9429664,0
45,0,2,0,93460.99382,3990.12,3,0,32,0,1,25.21,0.417030568,1,1,26,0,0,0.333333333,1,0.377661216,1,1,1,30,1,1,96.2,3183.4,0,0,806.72,3
24,1,2,1,93460.99382,2994.56,3,1,72,1.390003085,1,22.78,0.417030568,0,0,20.32366698,0,0,0,0,0,0,0,0,730,0,1,20.35,1354.4,2.040018645,6.506550218,1640.16,0
46.78522868,0.466172382,2,0,90025,7978.18,3.260452152,1,66,1.390003085,0.905519177,25.83,1,1,1,24,0,1,0.333333333,0,0,1,0.346009975,1,365,0,1,95.3,6273.4,0,0,1704.78,0
78,0,1,0,92210,115.9,3,0,1,5,1,24.75,0,1,1,20.32366698,0,0.334686232,0,0,0,0,0.346009975,0,30,1,1.505276226,71.15,71.15,0,20,24.75,1
46.78522868,0.466172382,1.507892293,0,90018,3025.38111,3,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
32,0,2,0,95002,3025.38111,1,0,7,5,1,9.25,1,1,1,29,0,0,1,0,0.377661216,1,1,1,292.0086393,1,1,98.05,713,0,0,64.75,1
46.78522868,0.466172382,1.507892293,0.458721291,93604,3025.38111,3.260452152,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
69,1,2,0,91962,2134.3,3,7,69,0,0,0,0,1,1.370243294,13,0,0,1,0,0,0,0,1,365,1,1.505276226,29.8,2134.3,2.040018645,0,0,0
71,1,2,0,91786,3025.38111,3,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
47,0,2,0,96128,3025.38111,3.260452152,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
28,0,2,0,92802,351.28,3.260452152,0,4,5,1,43.77,0.417030568,1,3,20.32366698,0,0,0.333333333,0,0,0,1,1,30,1,2,44.8,2259.597129,0,0,175.08,0
76,1,2,0,95324,6890,4,10,60,2,1,17.05,0,1,1.370243294,21,0,1,1,0,1,0.379523662,0.346009975,1,365,1,1,97.95,2259.597129,0,0,1023,0
54,0,1,0,93460.99382,1104.62,3,1.840825123,32.40104487,0,0.905519177,9.52,0.417030568,1,1,4,0,0.334686232,1,1,0.377661216,1,0.346009975,1,30,1,1,94.2,999.9,0,0,104.72,0
44,0,2,1,94020,83.6,3.260452152,0,1,5,0,0,0,1,2,19,0,1,0,1,0.377661216,0,0,0,30,0,2,33.6,33.6,0,50,0,0
46.78522868,0.466172382,1.507892293,0.458721291,93460.99382,1825.35,5,0,20,0,1,22.75,1,1,2,11,0,1,0,1,0,1,1,1,30,1,2,68.9,2259.597129,0,0,455,0
56,0,1,0,93460.99382,3025.38111,4,0,46,2,1,46.83,1,1,3,2,1,0,0.333333333,0,1,1,1,1,730,0,3,64.19761171,3593.8,0,0,2154.18,0
46.78522868,0.466172382,1.507892293,0.458721291,93460.99382,49.49,5,0,1,0,1,29.19,0,0,0,0,0.284034653,0,0,0,0,0,0,0,292.0086393,0,2,20.3,20.3,2.040018645,0,29.19,0
57,0,1,0,90221,3025.38111,3.260452152,0,1,5,1,15.92,0,1,1,11,0,0,0,0,0,0,0,1,30,1,1,70.3,2259.597129,0,0,15.92,2
55,1,1,0,93669,99.95,4,1,4,0,0,23.00672558,0,1,3,29,0,0,0.333333333,0,0.377661216,0,0,1,30,1,1,25.15,99.95,0,6.506550218,0,0
63,0.466172382,2,0,95046,3025.38111,3,1,25,0,0.905519177,23.00672558,0,1,1.370243294,4,0,0,0,0,1,1,1,0,365,1,1,90.4,2178.6,0,6.506550218,881.75,1
61,1,2,0,92258,3025.38111,2,1,7,0,1,5.13,0,0.774630542,1.370243294,4,0,0,1,0.284119107,0.377661216,0,0,1,30,0,1,48.7,340.25,0,0,35.91,5
28,0,2,0,93235,3025.38111,1,1.840825123,1,5,1,10.98,0,0.774630542,0,0,0,0,0,0,0,0,0,0,30,1,1.505276226,20.2,2259.597129,0,0,10.98,4
38,1,1,3,90717,405.94,2,5,4,0,1,42.71,0,1,3,20.32366698,0,1,0,1,0,0,0,1,30,0.578473945,2,56.5,2259.597129,0,0,170.84,2
62,0,1,0,95305,868.68,1,1.840825123,7,1.390003085,1,46.79,1,1,1,25,0,0,0,0,0,0,0,1,30,0.578473945,1,74.9,2259.597129,0,0,327.53,1
20,0,1,0,90026,90.3,4,0,1,0,1,10.05,0.417030568,1,1,51,0,0,0,0,0.377661216,0,0,0,30,0.578473945,1,70.25,70.25,0,10,10.05,0
58,0,2,0,95423,140.15,2,0,2,0,1,11.75,0,1,1,4,0.284034653,0.334686232,0,0,0,0,0,1,30,1,1.505276226,67.75,116.65,0,0,23.5,5
39,0,1.507892293,0,92139,3025.38111,5,0,43,2,0.905519177,19.66,1,1,1,20.32366698,0,0,0,0,0,0,0,1,30,1,2,75.35,3161.4,0,6.506550218,845.38,0
26,1,1,0,92625,5786.7,5,5,60,0,1,14,0,1,2,42,0,1,1,1,1,1,0.346009975,1,730,1,1,80.6,4946.7,0,0,840,0
42,1,2,0.458721291,91324,8881.17,3.260452152,2,72,1,1,11.66,1,1,1,28,0,1,1,1,1,0.379523662,1,1,730,1,1,112.25,8041.65,0,0,751.9429664,0
40,0,1,0.458721291,90710,3859.27,3.260452152,0,41,2,1,36.47,1,1,3,8,0,1,0,0,0,0,0,1,365,1,1.505276226,56.3,2259.597129,0,0,1495.27,0
60,1,1,0.458721291,90003,6564.66,3.260452152,1.840825123,32.40104487,2,1,16.39,1,1,1,14,1,1,0,0.284119107,1,0,0,1,292.0086393,1,1,94.75,5597.65,0,0,967.01,0
38,0,1,0.458721291,93606,549.78,3,0,7,0,1,15.84,0,1,1.370243294,14,1,1,1,0,0,0,0,1,30,0,1,61.4,438.9,2.040018645,0,110.88,0
61,1,1,0,92234,9915.15,3.260452152,1.840825123,64,2,1,49.26,1,1,1,18,0,0.334686232,0.333333333,1,1,0.379523662,0.346009975,1,730,1,1,105.4,6794.75,32.24,0,3152.64,0
42,1,1,2,92029,1864.25,4,9,45,0,1,21.73,0,0,0,0,0,0,0,0,0,0,0,0,730,1,1,20,886.4,0,0,977.85,0
46.78522868,0,1,0,95835,2562.29,3,0,23,4,1,23.00672558,0.417030568,1,3,3,0,0,0,1,1,1,1,0.666460778,292.0086393,0.578473945,2,73.75,1756.6,0,6.506550218,805.69,0
71,1,2,1,95932,6324.69,3,1,58,2,1,18.43,1,1,1,10,1,1,0,1,0,0,0,0,365,1,1,89.85,2259.597129,0,130,1068.94,0
23,1,1.507892293,0,93460.99382,952.35,3,1,20,0,1,23.00672558,0.417030568,0,0,0,0,0,0,0,0,0,0,0,365,0,2,20.35,393.15,0,0,559.2,0
43,1,1.507892293,3,93955,3025.38111,3.260452152,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
64,0.466172382,1,0,91104,3025.38111,3.260452152,1.840825123,11,0,1,2.95,0,1,3,21,0,0.334686232,0,0,0,0,0,1,30,0,1,51.1,531.15,2.040018645,0,32.45,0
21,0.466172382,2,0,92868,1783.62,3,0,16,0,1,38.32,0,1,1,82,0,0,0,1,0,0.379523662,0,1,30,1,2,74.55,1170.5,0,0,613.12,0
